Order_Number,County,Item_Number,Promoted_Sale,Quantity,Price,Date,Service,Month,Item
25-04177-10337,North Yorkshire,264393695399,No,1,13.00,23/11/19,Royal Mail 2nd Class,November,Neo G 722
20-04175-11142,Middlesex,264204441497,No,1,14.00,22/11/19,Royal Mail 2nd Class,November,Clearblue Digital Ovulation LH
05-04172-16615,Greater Manchester,264393705626,No,1,17.00,21/11/19,Royal Mail 2nd Class,November,Neo G 885
05-04172-11951,Staffordshire,264376292335,No,1,22.00,21/11/19,Royal Mail Tracked 24,November,Clearblue Ovulation Test Digital
26-04168-18817,Oxfordshire,264450071732,No,1,16.00,21/11/19,Royal Mail 2nd Class,November,Neo G 396
08-04164-85042,Staffordshire,264393705626,No,1,17.00,20/11/19,Royal Mail 2nd Class,November,Neo G 885
12-04163-72455,Cornwall,264393705626,No,1,17.00,20/11/19,Royal Mail 2nd Class,November,Neo G 885
05-04162-53000,Cornwall,264470156666,No,1,18.00,19/11/19,Royal Mail 2nd Class,November,Neo G 456
27-04159-50944,West Midlands,263684287080,No,1,1.99,19/11/19,Royal Mail 2nd Class,November,"Harris Smoothglide 1"""
21-04160-20926,London,264393705626,No,2,34.00,19/11/19,Royal Mail 2nd Class,November,Neo G 885
